requirement_id,business_capability,object_or_data,g7_app_or_api,endpoint_and_maturity,read_or_write,truth_owner,sandbox_evidence,reuse_mode,identified_gap,local_storage_needed,decision,approver
"FR-024","并行专家与合并","controlled Agent runtime; contract: 对于晚到、偏航和高风险事件，编排器可并行运行证据分析、ETA/方案、风险合规和动作草拟专家；专家只返回结构化结论和证据引用，主线程必须合并冲突、标记未知并显示各专家活动与消耗。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-025","写后验证与刷新","controlled Agent runtime; contract: 所有 R2/R3 工具执行后必须重新读取本地业务记录和 G7 事实，区分“已生效、待同步、执行失败、回读延迟”；验证完成前不显示“已完成”，并刷新今日工作流、对象抽屉和审计时间线。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-026","运行评估与交接","controlled Agent runtime; contract: 管理员必须能按黄金案例回放 Agent 运行，查看证据覆盖率、工具调用、审批和结果；用户可生成班次交接摘要，保留未解决问题、下一步、责任人和上下文压缩后的关键事实。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-027","订单接入与完整性","order fulfilment and capacity planning; contract: 系统必须支持 API、表格和文档录入订单，抽取客户、货物、提送点、时窗、服务级别和计费字段；缺字段、冲突字段和重复订单进入可处理队列，原始文件与抽取结果可追溯。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-028","履约计划与停靠点","order fulfilment and capacity planning; contract: 系统必须将订单拆分为运输段、停靠点和履约承诺，支持合单、拆单、时窗、容量、装卸时长和路线约束，并生成可比较的计划草稿。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-029","ETA 与承诺风险","order fulfilment and capacity planning; contract: 系统必须结合 G7 位置/轨迹事实、计划时窗、历史耗时和运营事件计算 ETA 与风险等级，显示置信度、证据、新鲜度和影响订单。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-030","异常影响传播","order fulfilment and capacity planning; contract: 系统必须把车辆、司机、路线、停靠点、订单、客户 SLA 和后续任务组成影响图；异常发生时列出受影响对象、最晚补救时间和责任人。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-031","履约凭证与结案","order fulfilment and capacity planning; contract: 系统必须接收签收、异常签收、照片、回单和客户确认，校验订单履约条件并将未满足项转为待处理工作，不得静默标记完成。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-032","运力池与班次计划","order fulfilment and capacity planning; contract: 系统必须按组织、车型、载重、能源、司机资格、班次和维护占用展示可用运力，支持未来日期和临时运力锁定。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-033","候选匹配与约束解释","order fulfilment and capacity planning; contract: 系统必须为订单或运输段提供人车候选，解释容量、时窗、资格、位置、工时和冲突约束；候选建议与阻塞原因分开呈现。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-034","What-if 场景","order fulfilment and capacity planning; contract: 用户必须能够复制计划并比较准时率、空驶、里程、成本、加班、风险和客户影响；场景计算不能直接写入生产派车。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-035","派车批处理","order fulfilment and capacity planning; contract: 系统必须支持按班次、区域或订单批量生成派车草稿，逐项显示冲突和可撤销性，确认后才通过本地服务同步 G7。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-036","运力预警","order fulfilment and capacity planning; contract: 系统必须提前识别未来班次的运力缺口、维护占用、司机工时风险和高峰拥堵，并生成补运、改约或客户沟通建议。","orders, segments, stops, commitments, dispatch plans and G7 facts","asset/assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; no order/dispatch lifecycle scope; /trips/_search DEVELOPING only","READ_WRITE","PRODUCT_WORKFLOW_G7_FACTS","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal order/plan workflow; approval pending","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-037","客户 SLA 与承诺","customer, case and settlement; contract: 系统必须保存客户 SLA、承诺模板、通知渠道、联系人和升级规则，并将订单风险映射到具体承诺。","SLA, communication, case, charge and reconciliation evidence","No target-app customer/SLA/case/claim/settlement scope found; messaging composition remains possible","READ_WRITE","UNDETERMINED","WORKBENCH_INVENTORY_ONLY: no customer SLA, case, claim, settlement or reconciliation scope was found; messaging topics exist, while broadcast REST is unsupported in SANDBOX. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-005","PROHIBITED until platform absence/composition evidence and ADR approval","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-038","协同消息工作流","customer, case and settlement; contract: 系统必须从异常或计划变化生成带证据的客户/承运商通知草稿，支持审阅、发送、撤回状态和沟通时间线。","SLA, communication, case, charge and reconciliation evidence","No target-app customer/SLA/case/claim/settlement scope found; messaging composition remains possible","READ_WRITE","UNDETERMINED","WORKBENCH_INVENTORY_ONLY: no customer SLA, case, claim, settlement or reconciliation scope was found; messaging topics exist, while broadcast REST is unsupported in SANDBOX. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-005","PROHIBITED until platform absence/composition evidence and ADR approval","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-039","索赔与服务案件","customer, case and settlement; contract: 系统必须支持从订单、凭证、事件和沟通创建服务案件，记录责任、金额、材料、时限、处理阶段和复核结果。","SLA, communication, case, charge and reconciliation evidence","No target-app customer/SLA/case/claim/settlement scope found; messaging composition remains possible","READ_WRITE","UNDETERMINED","WORKBENCH_INVENTORY_ONLY: no customer SLA, case, claim, settlement or reconciliation scope was found; messaging topics exist, while broadcast REST is unsupported in SANDBOX. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-005","PROHIBITED until platform absence/composition evidence and ADR approval","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-040","费用采集与匹配","customer, case and settlement; contract: 系统必须接收运费、油费、路桥费、停车、装卸和附加费，按订单、运输段、车辆和供应商匹配并保留来源凭证。","SLA, communication, case, charge and reconciliation evidence","No target-app customer/SLA/case/claim/settlement scope found; messaging composition remains possible","READ_WRITE","UNDETERMINED","WORKBENCH_INVENTORY_ONLY: no customer SLA, case, claim, settlement or reconciliation scope was found; messaging topics exist, while broadcast REST is unsupported in SANDBOX. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-005","PROHIBITED until platform absence/composition evidence and ADR approval","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-041","结算对账","customer, case and settlement; contract: 系统必须比较合同费率、实际履约、外部账单和已付款记录，标出差异、重复、缺凭证和需审批金额，不自动篡改财务原账。","SLA, communication, case, charge and reconciliation evidence","No target-app customer/SLA/case/claim/settlement scope found; messaging composition remains possible","READ_WRITE","UNDETERMINED","WORKBENCH_INVENTORY_ONLY: no customer SLA, case, claim, settlement or reconciliation scope was found; messaging topics exist, while broadcast REST is unsupported in SANDBOX. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-005","PROHIBITED until platform absence/composition evidence and ADR approval","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-042","客户服务摘要","customer, case and settlement; contract: 系统必须生成按客户、线路和时间窗聚合的准时率、异常、沟通、索赔和费用摘要，并提供证据链接。","SLA, communication, case, charge and reconciliation evidence","No target-app customer/SLA/case/claim/settlement scope found; messaging composition remains possible","READ_WRITE","UNDETERMINED","WORKBENCH_INVENTORY_ONLY: no customer SLA, case, claim, settlement or reconciliation scope was found; messaging topics exist, while broadcast REST is unsupported in SANDBOX. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-005","PROHIBITED until platform absence/composition evidence and ADR approval","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-043","Playbook 编排","automation and knowledge governance; contract: 管理员必须能以事件、时间、规则或人工命令为触发器，编排查询、判断、通知、草稿、审批、写入和回读步骤。","Playbook, run, knowledge, version and evaluation","G7 business facts compose through Tool Registry; no target-app Playbook/knowledge/governance scope found","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-006;G7-GAP-004","REQUIRED candidate model; approval pending","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-044","自动化版本与发布","automation and knowledge governance; contract: Playbook 必须有草稿、测试、发布、暂停、回滚和版本差异，发布前显示权限、风险、预算和影响范围。","Playbook, run, knowledge, version and evaluation","G7 business facts compose through Tool Registry; no target-app Playbook/knowledge/governance scope found","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-006;G7-GAP-004","REQUIRED candidate model; approval pending","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-045","运行历史与重放","automation and knowledge governance; contract: 系统必须保存每次自动化运行的输入、Context Pack、工具、审批、输出、错误和成本，支持脱离生产数据的安全重放。","Playbook, run, knowledge, version and evaluation","G7 business facts compose through Tool Registry; no target-app Playbook/knowledge/governance scope found","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-006;G7-GAP-004","REQUIRED candidate model; approval pending","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-046","知识库与引用","automation and knowledge governance; contract: 系统必须支持 SOP、合同、SLA、手册和监管材料的版本、生效期、标签、权限、分段索引和引用位置。","Playbook, run, knowledge, version and evaluation","G7 business facts compose through Tool Registry; no target-app Playbook/knowledge/governance scope found","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-006;G7-GAP-004","REQUIRED candidate model; approval pending","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
